epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.551,1.74192,2.1096,0.00798,0.48053,0.47616,0.44613,0.25618,1.4201,1.60629,0.00891,0.000332394,0.000332394,0.067093
2,198.573,1.52263,1.34316,0.00619,0.62345,0.48713,0.54631,0.32928,1.30586,1.25247,0.00689,0.000661334,0.000661334,0.0340886
3,283.784,1.44588,1.15181,0.00559,0.55556,0.57099,0.58732,0.37169,1.21475,1.14125,0.00682,0.000985873,0.000985873,0.00107977
4,367.692,1.40267,1.04314,0.00523,0.65376,0.54437,0.59201,0.37402,1.23362,1.05586,0.00625,0.0009802,0.0009802,0.0009802
5,451.271,1.37213,0.99171,0.00508,0.70522,0.57846,0.63319,0.40947,1.17003,1.0307,0.00634,0.0009736,0.0009736,0.0009736
6,535.867,1.35386,0.94578,0.00491,0.85391,0.55248,0.64736,0.42424,1.19276,1.01654,0.00717,0.000967,0.000967,0.000967
7,620.026,1.32618,0.90621,0.00477,0.66518,0.63193,0.63306,0.41302,1.15952,0.96112,0.00593,0.0009604,0.0009604,0.0009604
8,704.016,1.32503,0.89635,0.00466,0.73951,0.59232,0.65245,0.43788,1.11701,0.97769,0.00575,0.0009538,0.0009538,0.0009538
9,787.917,1.31142,0.87333,0.0046,0.70335,0.66705,0.66942,0.44211,1.10601,0.96373,0.00547,0.0009472,0.0009472,0.0009472
10,871.798,1.30119,0.86074,0.00469,0.7302,0.6731,0.68974,0.46591,1.11784,0.92848,0.00576,0.0009406,0.0009406,0.0009406
11,955.477,1.28941,0.83813,0.00452,0.74311,0.67971,0.68932,0.4632,1.08987,0.9265,0.00533,0.000934,0.000934,0.000934
12,1039.96,1.28462,0.83235,0.00442,0.66369,0.68319,0.67571,0.45209,1.13928,0.92716,0.00667,0.0009274,0.0009274,0.0009274
13,1124.43,1.26625,0.81249,0.00438,0.69348,0.68321,0.69098,0.45697,1.08761,0.89654,0.00526,0.0009208,0.0009208,0.0009208
14,1208.65,1.25901,0.81052,0.00425,0.69723,0.6513,0.682,0.45674,1.12146,0.94022,0.00587,0.0009142,0.0009142,0.0009142
15,1292.69,1.26002,0.80138,0.00425,0.74937,0.67921,0.70861,0.4936,1.07307,0.88802,0.00538,0.0009076,0.0009076,0.0009076
16,1376.1,1.24544,0.78859,0.00423,0.69953,0.67959,0.69953,0.4958,1.03929,0.8943,0.00511,0.000901,0.000901,0.000901
17,1459.71,1.23909,0.77616,0.00414,0.68261,0.71152,0.70948,0.49493,1.05556,0.9007,0.00511,0.0008944,0.0008944,0.0008944
18,1543.11,1.23704,0.77233,0.00412,0.74236,0.68095,0.71054,0.49349,1.06892,0.86678,0.00533,0.0008878,0.0008878,0.0008878
19,1627.09,1.23616,0.76318,0.00408,0.7877,0.68223,0.70606,0.49415,1.03435,0.85702,0.00502,0.0008812,0.0008812,0.0008812
20,1712.3,1.24044,0.76788,0.00409,0.74342,0.6816,0.7108,0.50202,1.04574,0.84958,0.00523,0.0008746,0.0008746,0.0008746
21,1796.44,1.2302,0.75653,0.00406,0.70402,0.70029,0.70321,0.49103,1.04135,0.80617,0.00489,0.000868,0.000868,0.000868
22,1880.91,1.22069,0.75151,0.00407,0.73081,0.68795,0.7149,0.49704,1.04426,0.85415,0.00491,0.0008614,0.0008614,0.0008614
23,1966.59,1.2131,0.73817,0.00396,0.81367,0.67543,0.72797,0.50955,1.03132,0.8216,0.00498,0.0008548,0.0008548,0.0008548
24,2052.73,1.21296,0.74183,0.00397,0.79326,0.66012,0.7078,0.49695,1.04478,0.82738,0.00501,0.0008482,0.0008482,0.0008482
25,2136.82,1.19726,0.72077,0.00394,0.82264,0.64815,0.71693,0.49649,1.05835,0.83869,0.00516,0.0008416,0.0008416,0.0008416
26,2220.72,1.21001,0.72701,0.00386,0.7408,0.6856,0.71617,0.50653,1.0238,0.79657,0.00491,0.000835,0.000835,0.000835
27,2304.36,1.19604,0.72757,0.00393,0.81183,0.66728,0.71915,0.50021,1.0254,0.79778,0.00498,0.0008284,0.0008284,0.0008284
28,2388,1.19422,0.71914,0.00388,0.7967,0.67523,0.72444,0.5103,1.03195,0.82341,0.00506,0.0008218,0.0008218,0.0008218
29,2471.64,1.20174,0.71933,0.00389,0.81723,0.66701,0.7259,0.51741,1.0127,0.74848,0.00462,0.0008152,0.0008152,0.0008152
30,2555.84,1.18307,0.7011,0.00376,0.81489,0.65675,0.71982,0.51162,1.00484,0.82443,0.00492,0.0008086,0.0008086,0.0008086
31,2640.05,1.17458,0.70536,0.00379,0.79268,0.67173,0.72986,0.52269,1.0043,0.80791,0.00491,0.000802,0.000802,0.000802
32,2725.74,1.18448,0.70335,0.00378,0.76498,0.69999,0.73008,0.52104,1.00312,0.76335,0.00472,0.0007954,0.0007954,0.0007954
33,2813.3,1.18012,0.70364,0.00382,0.71918,0.71889,0.72456,0.51591,1.02361,0.79668,0.00534,0.0007888,0.0007888,0.0007888
