epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.22,4.11027,6.99678,0.03472,0.00094,0.01028,7e-05,1e-05,3.9087,10.9832,0.03045,0.0001,0.0001,0.0001
2,246.081,3.66397,5.79865,0.03156,0.49362,0.03568,0.039,0.01022,3.20019,6.59131,0.03359,9.9e-05,9.9e-05,9.9e-05
3,361.027,3.06973,4.53502,0.02544,0.55803,0.13871,0.11282,0.04737,2.45534,4.79706,0.01999,9.8e-05,9.8e-05,9.8e-05
4,475.808,2.71175,3.69329,0.02035,0.62933,0.23362,0.20183,0.08911,2.20093,3.90699,0.0168,9.7e-05,9.7e-05,9.7e-05
5,590.139,2.50847,3.17767,0.01727,0.66252,0.26939,0.2435,0.10857,2.14491,3.54379,0.01771,9.6e-05,9.6e-05,9.6e-05
6,705.68,2.38622,2.88137,0.01584,0.69233,0.28154,0.27915,0.13545,2.02056,3.15064,0.01467,9.5e-05,9.5e-05,9.5e-05
7,823.011,2.31355,2.65104,0.01461,0.70005,0.30778,0.31881,0.15685,1.89941,2.80465,0.01239,9.40001e-05,9.40001e-05,9.40001e-05
8,940.857,2.23461,2.44057,0.01367,0.70722,0.37289,0.37834,0.19111,1.87915,2.56416,0.01332,9.30001e-05,9.30001e-05,9.30001e-05
9,1059.25,2.18163,2.30298,0.01322,0.71949,0.3752,0.39068,0.2035,1.79429,2.39493,0.01188,9.20001e-05,9.20001e-05,9.20001e-05
10,1176.74,2.1387,2.16585,0.01257,0.72151,0.38726,0.40869,0.21134,1.77432,2.26565,0.01228,9.10001e-05,9.10001e-05,9.10001e-05
11,1293.42,2.1127,2.08037,0.01214,0.73194,0.39227,0.41605,0.22,1.73634,2.09393,0.01087,9.00001e-05,9.00001e-05,9.00001e-05
12,1410.51,2.06299,1.9708,0.01162,0.72772,0.39047,0.42598,0.22517,1.72803,2.01944,0.01175,8.90001e-05,8.90001e-05,8.90001e-05
13,1527.69,2.03392,1.88846,0.01132,0.73812,0.42395,0.4476,0.24122,1.68306,1.89777,0.01051,8.80001e-05,8.80001e-05,8.80001e-05
14,1644.57,2.01044,1.81293,0.0109,0.73633,0.41862,0.45137,0.24969,1.68282,1.84325,0.01147,8.70001e-05,8.70001e-05,8.70001e-05
15,1763.31,1.97631,1.74872,0.01074,0.75119,0.43273,0.47278,0.26904,1.61415,1.70523,0.00987,8.60001e-05,8.60001e-05,8.60001e-05
16,1880.52,1.95421,1.68366,0.01039,0.75748,0.45692,0.49631,0.28129,1.62191,1.65328,0.00995,8.50002e-05,8.50002e-05,8.50002e-05
17,2000.42,1.94636,1.63171,0.01008,0.7798,0.45857,0.5038,0.28486,1.58405,1.55999,0.00927,8.40002e-05,8.40002e-05,8.40002e-05
18,2118.28,1.91374,1.58267,0.00986,0.77689,0.45922,0.5095,0.29319,1.57443,1.54088,0.00925,8.30002e-05,8.30002e-05,8.30002e-05
19,2236.33,1.89331,1.53409,0.00972,0.79103,0.46506,0.52776,0.30208,1.56379,1.47049,0.00883,8.20002e-05,8.20002e-05,8.20002e-05
20,2354.43,1.89833,1.51834,0.0098,0.77361,0.47563,0.52931,0.29858,1.59221,1.50731,0.01022,8.10002e-05,8.10002e-05,8.10002e-05
